
=== RECUPERATION DIRECTE DES 3 NIVEAUX ===

  [PROGRESSION]    0,0% | bibliotheque 0/0 | demarrage | 0 dossier(s) | fin estimee: calcul en cours
  [PROGRESSION]    2,8% | bibliotheque 1/17 | groupes/roles du niveau 2 | 116 dossier(s) | fin estimee: 16:37:45
  [PROGRESSION]    2,8% | bibliotheque 1/17 | groupes/roles du niveau 2 | 117 dossier(s) | fin estimee: 16:37:44
  [PROGRESSION]    2,8% | bibliotheque 1/17 | groupes/roles du niveau 2 | 118 dossier(s) | fin estimee: 16:37:42
  [PROGRESSION]    2,8% | bibliotheque 1/17 | groupes/roles du niveau 2 | 119 dossier(s) | fin estimee: 16:37:40
  [PROGRESSION]    2,8% | bibliotheque 1/17 | groupes/roles du niveau 2 | 120 dossier(s) | fin estimee: 16:37:37
  [PROGRESSION]    2,8% | bibliotheque 1/17 | groupes/roles du niveau 2 | 121 dossier(s) | fin estimee: 16:37:35
  [PROGRESSION]    2,8% | bibliotheque 1/17 | groupes/roles du niveau 2 | 122 dossier(s) | fin estimee: 16:37:35
  [PROGRESSION]    2,9% | bibliotheque 1/17 | groupes/roles du niveau 2 | 123 dossier(s) | fin estimee: 16:37:33
  [PROGRESSION]    2,9% | bibliotheque 1/17 | groupes/roles du niveau 2 | 124 dossier(s) | fin estimee: 16:37:30
  [PROGRESSION]    2,9% | bibliotheque 1/17 | groupes/roles du niveau 2 | 125 dossier(s) | fin estimee: 16:37:29
  [PROGRESSION]    2,9% | bibliotheque 1/17 | groupes/roles du niveau 2 | 126 dossier(s) | fin estimee: 16:37:27
  [PROGRESSION]    2,9% | bibliotheque 1/17 | groupes/roles du niveau 2 | 127 dossier(s) | fin estimee: 16:37:25
  [PROGRESSION]    2,9% | bibliotheque 1/17 | groupes/roles du niveau 2 | 128 dossier(s) | fin estimee: 16:37:22
  [PROGRESSION]    2,9% | bibliotheque 1/17 | groupes/roles du niveau 3 | 129 dossier(s) | fin estimee: 16:37:21
  [PROGRESSION]    2,9% | bibliotheque 1/17 | groupes/roles du niveau 3 | 130 dossier(s) | fin estimee: 16:37:18
  [PROGRESSION]    2,9% | bibliotheque 1/17 | groupes/roles du niveau 3 | 131 dossier(s) | fin estimee: 16:37:15
  [PROGRESSION]    2,9% | bibliotheque 1/17 | groupes/roles du niveau 3 | 132 dossier(s) | fin estimee: 16:37:14
  [PROGRESSION]    2,9% | bibliotheque 1/17 | groupes/roles du niveau 3 | 133 dossier(s) | fin estimee: 16:37:11
  [PROGRESSION]    2,9% | bibliotheque 1/17 | groupes/roles du niveau 3 | 134 dossier(s) | fin estimee: 16:37:09
  [PROGRESSION]    3,0% | bibliotheque 1/17 | groupes/roles du niveau 3 | 135 dossier(s) | fin estimee: 16:37:06
  [PROGRESSION]    3,0% | bibliotheque 1/17 | groupes/roles du niveau 3 | 136 dossier(s) | fin estimee: 16:37:05
  [PROGRESSION]    3,0% | bibliotheque 1/17 | groupes/roles du niveau 3 | 137 dossier(s) | fin estimee: 16:37:03
  [PROGRESSION]    3,0% | bibliotheque 1/17 | groupes/roles du niveau 3 | 138 dossier(s) | fin estimee: 16:37:00
  [PROGRESSION]    3,0% | bibliotheque 1/17 | groupes/roles du niveau 3 | 139 dossier(s) | fin estimee: 16:36:58
  [PROGRESSION]    3,0% | bibliotheque 1/17 | groupes/roles du niveau 3 | 140 dossier(s) | fin estimee: 16:36:56
  [PROGRESSION]    3,0% | bibliotheque 1/17 | groupes/roles du niveau 3 | 141 dossier(s) | fin estimee: 16:36:54
  [PROGRESSION]    3,0% | bibliotheque 1/17 | groupes/roles du niveau 3 | 142 dossier(s) | fin estimee: 16:36:52
